"","vtitle","vpoint","vreview"
"159","리멤버","2","엄청나게 따분함. 영상 톤도 굉장히 칙칙해서 보는 내내 기분이 우울한 그런 영화임."
"160","낮에는 덥고 밤에는 춥고","6","편집이 좀 이상한것 빼고는 그런데로."
"161","시카리오: 데이 오브 솔다도","5","다른 잡다한 이야기보다는 노래를 많이 듣자"
"162","공조2: 인터내셔날","9","다 커서 다시 보니까 엄청 무섭진 않네요. 스릴러 정도?"
"163","옆집사람","2","재난 액션 잘나가다 영화를 ㅂㅅ으로 만드냐 반일반미에 억지 신파극까지"
"164","인생은 아름다워","10","가족 영화에 넣을 수 있는 쾌락이란 쾌락은 다 넣고 2배속 돌린 기분. 그런데도 완성도가 깨지질 않네."
"165","에브리씽 에브리웨어 올 앳 원스","3","와 이렇게 정신없는 영화는 처음. 끝까지 본게대단하네요"
"166","자백","7","조폭의 비정한 셰계를 잘보여준다"
"167","20세기 소녀","10","이 영화는 병맛이 아니라 잘만든 멋진 영화입니다전례없는 스타일"
"168","살인청부업자","9","이 영화가 생각보다 평이 박하네...개인적으론 연기가 일단 압권으로 최고이고...스토리도 상당히 흥미롭지 않은가...마지막 은근한 머리 아픈 결말까지... 그리 박하게 평가받을 만한 졸작은 아닌데..."
"169","리멤버","2","진짜 아역 죽이고 싶음 너무 억지 스토리촌스럽고 올드하고..재미도 감동도 없음"
"170","낮에는 덥고 밤에는 춥고","10","진짜 반전에반전이 예상외의 스토리가 보는내내 몰입감으로 정말 흥미진진하게 잘봤어요꼭 꼭 보세요 완전강추~^^"
"171","시카리오: 데이 오브 솔다도","10","옛날 생각나서 눈물 글썽였네요..."
"172","공조2: 인터내셔날","2","이런3류영화 시나리오 쓴사람도 문제지만이런 영화에 투자한 투자배급사 담당자는 사표내야할듯 당연히 흥행은 달나라로보는내내 모 이런 영화가있나 싶어 보다보다 승질나서  스톱 투자배급사 망하게한영횐"
"173","옆집사람","2","네이버 알바들이 실제 존재하는군요.진짜 스토리도, 연기도 엉망집에서 봤는데, 독립비급엉성한 삼류영화입니다. 스토리는 예상대로 뻔하고요."
"174","인생은 아름다워","1","추억의 만화 타이거마스크를 욕보이지 말라!"
"175","에브리씽 에브리웨어 올 앳 원스","9","역사의 비극을 영어로만  진술해야 한다는 참담함.."
"176","자백","5","좋게 말해서 잔잔 힐링이지 그냥 지루 노잼 이라는 말이에요"
"177","20세기 소녀","9","별거 없는 인간들아 나에겐 다정함이 있어"
"178","살인청부업자","10","거의 코미디 영화임ㅋㅋ 마지막 주연 이빨빠지는거 개웃...개그요소가 많아요 ㅋㅋ 잼께 봄 ㅠㅠ"
"179","리멤버","10","그래 .. 이 기분 나만 느낄순 없지"
"180","낮에는 덥고 밤에는 춥고","10","간만에 좋은 작품 봤습니다 내용, 영상미 다 좋네요"
"181","시카리오: 데이 오브 솔다도","10","인생 영화 TOP3 에 듭니다연출 소리 스토리 다 완벽합니다꼭 아이맥스로 보세요"
"182","공조2: 인터내셔날","8","역관광이 뭔가를 보여주네"
"183","옆집사람","8","이태원참사이후에 이영화를 보니 느껴지는게 많다"
"184","인생은 아름다워","5","신선함을 가장한 클리셰 덩어리. 안타깝게도 2탄이 나올 것이 분명하다."
"185","에브리씽 에브리웨어 올 앳 원스","8","유치하긴한데 볼만은 함"
"186","자백","8","좋아하는 두배우 나오는데두배우의 좋은연기. 깔끔한 스토리.재밌게 봤어요"
"187","20세기 소녀","9","감사합니다 잊지않겠습니다"
"188","살인청부업자","8","공주가 아닌 평민, 젊은이가 아닌 노인 버전 로마의 휴일...아니 파리의 휴일"
"189","리멤버","10","긴장을 놓을 수 없는 짜릿함이 있는 영화!"
"190","낮에는 덥고 밤에는 춥고","10","마지막 장면의 원어 자막판도 좋았지만 개인적으로 더빙판의 나레이션이 감동을 배가되게 만들어줬고 여전히 기억에 남네요."
"191","시카리오: 데이 오브 솔다도","10","스토리 연기 뭐하나 모자른게 없습니다.. 영화보다 잘 조는데 졸 틈이 없었습니다 ㅎㅎ"
"192","공조2: 인터내셔날","4","새드앤딩임... 보고나서 기분만 찝찝해지고주인공이 살았으면 좋았을텐데 좀 아쉽다"
"193","옆집사람","8",";"
"194","인생은 아름다워","8","테러행위가 어떨때까지 정당할까?그전에 죄의 대가를 치루지 않은 우리의 부끄러운 역사"
"195","에브리씽 에브리웨어 올 앳 원스","10","오랫만에 블랙코미디 영화를 봤네요 영화에 한참 몰두하고 보니 어느새 영화가 끝났네요 젊은 감독의 참신성이 보인 좋은 작품의 영화였네요 강추합니다"
"196","자백","8","f"
"197","20세기 소녀","8","크게 특별할 것 없는 스토리지만 그만큼 확실한 감동이 있는 영화"
"198","살인청부업자","8","난 나름 재미있게 봤네요악평댓글에 망설였지만마녀2 악평 댓글 처럼 이 영화도 그랬지만마녀2도 나름 재밌었구요늑대사냥역시. 재밌었네요서인국이 너무 빨리죽어서 의아했네요"
"199","리멤버","9",""
"200","낮에는 덥고 밤에는 춥고","4","아우.. 재미있는 소재로 이따위로 영화를 만드네. 배우가 아깝다. 보다 짜증나서 껐어.."
"201","시카리오: 데이 오브 솔다도","8","발암영화라서 몰입도가 높긴한데 남자주인공에게 화가난다."
"202","공조2: 인터내셔날","10","뭐땜에 그랬노 / 주희땜에 그랬습니더 / 주희가 누군데 / 여자친굽니더 / 이새끼 딸래미땜에 그랬어!"
"203","옆집사람","8","초반에 아담이 사람들을 죽일때 좀 불편한  기분이 들었지만 대부분 재밌어요 cg가 많아 화면이 칙칙해요. 쿠키영상 슈퍼맨 멎져 갑자기 주인공이 오징어가 되는.. ㅋㅋ"
"204","인생은 아름다워","10","이해는 안 되지만 끌리는 신비함"
"205","에브리씽 에브리웨어 올 앳 원스","8","그렇게 까일정도는 아닌듯   연기들은 다 훌륭햇음 확실히    로보트 요런씬만 쫌 하튼 낫베드"
"206","자백","10","와 나는 진짜 재밌는데! 평점 왜이럼"
"207","20세기 소녀","10","내돈내산 N차 관람 중인데 볼때마다 시간 순삭입니다! 자취하는 사람인데 정말 나한테도 일어날 수 있는 일이라고 생각하니 더 몰입되네요! 다 보고나면 알수없는 울림까지 주는 좋은 작품입니다!! 그리고 무엇보다 현민역을 맡으신 희진 배우님…연기가 영화 전체을 압도합니다…! 저는 이 영화를 계기로 완전 팬이 되었네요^^ 앞으로도 좋은 활동 기대하겠습니다!"
"208","살인청부업자","6","예고편보다 지루하고 좀 이게말이되나하고 의심스럽다해여하나 내연성? 이런게맞나? 싶은장면이많이나옴 그렇다고 킬링타임으로도 보기아까울정도로 유쾌하지도않음"
"209","리멤버","10","미지막 김윤진 최광일 배우 두분의 표정 연기가 영화의 시작과 끝. 원작과 비교해 더 나은 시나리오와 연기. 내용을 알기에 가볍게 봤다가 어이쿠 이건 전혀 다른 영화군 하고 한방 맞음 . 매우 강추."
"210","낮에는 덥고 밤에는 춥고","1","다섯번째 보고있는데 이불 뒤집어 쓰고 문 닫고 별 OO을 가 해도 3화부터 하나도 안 보여서 뻥 말고 무슨 내용인지 하나도 모르겠다. 역대급 화면 밝기. 지들은 찍으면서 서로의 얼굴이 보였을까? 내용이고 나발이고 아니 기본적으로 보여야 보지. x발 내돈."
"211","시카리오: 데이 오브 솔다도","10","아주 재미있게 봤습니다!"
"212","공조2: 인터내셔날","2","너무 개연성이 떨어짐스토리 전개도 내용이 너무 뻔했음돈주고 보기 아까움"
"213","옆집사람","10","왜 유명한지 알게 되었던 영화 노래를 저절로 흥얼거리게 만듬"
"214","인생은 아름다워","7","동심이 조금이라도 있었으면 더 재밌었을텐데"
"215","에브리씽 에브리웨어 올 앳 원스","8","연기 잘하드라 ㅎㅎ 재밋게 보고왓음"
"216","자백","10","하이퍼리얼리티같은 배우들의연기가볼만하네요. 은근긴장감도있고 스토리도울림을주네요."
"217","20세기 소녀","10","돌멩이 두 개와 자막 뿐인 화면을 보는데 왜 눈물이 나는지 모르겠다."
"218","살인청부업자","10","아이들이 미니언즈보다 재미있다고 하네요~"
"219","리멤버","10","아주 재미있습니다.아이와 함께 보기에 좋네요."
"220","낮에는 덥고 밤에는 춥고","8",""
"221","시카리오: 데이 오브 솔다도","10","개슬퍼어! 몇번을 봤는지 모르겠다 지금도 보고 있다"
"222","공조2: 인터내셔날","7","디씨영화 특유의 흐름깨는 슬로우모션 없어서 더 잼썼음. 엔딩크레딧 첫 OST꼭 듣고 나오세요 좋아요!"
"223","옆집사람","1","와이게 도둑들 암살 만든 감독이 맞나 싶을 정도로 재미가 없다 시간 아까움"
"224","인생은 아름다워","9","올해 본 영화중 가장 재미있었던 영화 몇개를 고르라고 한다면 이 영화는 꼭 넣을 것 같다. 약간의 유머와 따뜻한 스토리, 화려한 영상미가 좋았다."
"225","에브리씽 에브리웨어 올 앳 원스","10","나름 액션이 끊기지않고 재미있음."
"226","자백","10","휴지 꼭 챙겨가세요...ㅠㅠ 너무 재미있게 잘 봤습니다 다음에 부모님께도 보여드리고 싶은 영화에요"
"227","20세기 소녀","10","휴지 꼭 챙겨가세요...ㅠㅠ 너무 재미있게 잘 봤습니다 다음에 부모님께도 보여드리고 싶은 영화에요"
"228","살인청부업자","10","휴지 꼭 챙겨가세요...ㅠㅠ 너무 재미있게 잘 봤습니다 다음에 부모님께도 보여드리고 싶은 영화에요"
"229","리멤버","6","잊으면 안되는 사실을 주제로 잊어버리는 병을 가진 노인이 포르쉐를 타고 질주한다. 하소연에 가까운 설명과 설득들이 신선한 질주와 멋진 연기에 제동을 건다."
"230","낮에는 덥고 밤에는 춥고","2","어디서 저런 여배...우도아니다"
"231","시카리오: 데이 오브 솔다도","1","유치원생도 이정돈 만들겠다"
"232","공조2: 인터내셔날","10",""
"233","옆집사람","8","가볍게 즐기는 오락영화~그래 오래 살았는데 이제서야 세상 다 산듯 허무해하지만 여전히 애같은 우리 또르ㅋ"
"234","인생은 아름다워","8","생각한거보다 재밌고 지루하지않네요."
"235","에브리씽 에브리웨어 올 앳 원스","8","초반 파트1이 너무 어지럽고 무슨 스토리인지 이해가 안가서 힘들었네요~ 그 후로 파트2-3 가면서 무슨 내용인지 이해가고 좋은 결말이라 좋았어요~ 저는 잔잔하고 코믹한 가족 영화겠거니 했는데 완전 신박한 스타일이라 호불호 갈리긴 할듯요~"
"236","자백","9","나에게도 이런 엄마가 있어서 다행이야"
"237","20세기 소녀","7","스토리가 탄탄하다.절제된 긴장감도 인상적이다."
"238","살인청부업자","10","당신이 또 내게 상처준다해도 다른 생에선 당신이랑 빨래방도 하고 세금도 내면서 살고싶어"
"239","리멤버","10","압도적이었다."
"240","낮에는 덥고 밤에는 춥고","4","개그랍시고 넣은 장면은 웃기지도 않았고, 갈수록 유치해진다. OST와 크리스찬 베일의 연기가 유이한 장점"
"241","시카리오: 데이 오브 솔다도","7","귀여운 맛에 보는 영화이고 목적은 충실히 이행한듯"
"242","공조2: 인터내셔날","10","당신이 놓친 인생 영화, 리틀포레스트와 같은 감미로운 분위기, 청량감이 느껴지는 이영화 꼭 보세요!상우역을 최대한 잘 살린 JB 당신의 팬이에요♥?"
"243","옆집사람","10","재미있네, 전우치 느낌도 나고 ㅋㅋ"
"244","인생은 아름다워","5","초중반부까진 좋았으나 후반부 되도않는 스토리와 사상들... 봐주기가 힘들었다"
"245","에브리씽 에브리웨어 올 앳 원스","10","좌파듫이 장악한 역사왜곡 한국영화들은 절대 보지 맙시다"
"246","자백","8","전체적으로 볼만했으나 대사가 안들리는 부분이 좀 있었다"
"247","20세기 소녀","9","1도 재밌었는데 1보다도 더 재밌는듯"
"248","살인청부업자","7","코스믹 호러같은 느낌이 나쁘진 않았다"
"249","리멤버","10","배우들 연기가 아주 좋아요"
"250","낮에는 덥고 밤에는 춥고","9","액션이 시원시원해서 좋았고 멋지고 재밌었어요"
"251","시카리오: 데이 오브 솔다도","10","모두에게 사랑받는 명작인데는 다 이유가 있다"
"252","공조2: 인터내셔날","8","일단 배우들의 연기가 좋았다. 이데올로기와 개인의 삶에 대해 생각해볼 기회를 주는영화."
"253","옆집사람","9","안 슬픈 부분이 없네요..ㅎ 재밌기도 함"
"254","인생은 아름다워","5","개인적으로는 불호였다"
"255","에브리씽 에브리웨어 올 앳 원스","7","스토리는 평이하지만 시원한 액션만으로 돈값은 한다"
"256","자백","5","호러 영화인가 개그 영화인가"
"257","20세기 소녀","7","따뜻한 내용이나 원작을 잘몰라서"
"258","살인청부업자","3","그냥 마블의 아류작 느낌시간 낭비 좋아하시면 추천드립니다 슈퍼히어로물"
"259","리멤버","10","스토리 가  헛점이 없어서 좋아요.   유해진이 A급 이였다는걸  이제서야  알았네요."
"260","낮에는 덥고 밤에는 춥고","10","올해 본 한국 영화중 울림은 단연 최고인듯"
"261","시카리오: 데이 오브 솔다도","9","오랜만에 영화다운 영화봤네 잼있게봤습니다 눈호강 영화 ㅇㅈ"
"262","공조2: 인터내셔날","1","자유 한미일 vs 적화 북중러"
"263","옆집사람","6","나탈리 포트만이 예뻐서 6점"
"264","인생은 아름다워","10","나나 연기잘해서 놀랑"
"265","에브리씽 에브리웨어 올 앳 원스","8","술안주 같은 영화."
"266","자백","10","스크린 마다 캐릭터를 살리는 마력! 황정민."
"267","20세기 소녀","8","수준낮은 신파극일까 걱정했는데 재미있게 잘 봤습니다."
"268","살인청부업자","9","긴장감있게 잘봤습니다."
"269","리멤버","7","영화가 끝나고서야 흑백영화인지 알았다"
"270","낮에는 덥고 밤에는 춥고","6","아직 아이언맨1이 나오지 못했는데 어벤져스1부터 만들고 싶어한 느낌… 한국형 히어로물의 지평을 넓혀가는 노력에는 찬사를 보내지만… 우리의 오리지널이 어딘가 본듯한 기시감을 넘어서지 못했다 응원했으나 아쉬운 작품"
"271","시카리오: 데이 오브 솔다도","6","그냥저냥 킬링타임용"
"272","공조2: 인터내셔날","10","진짜로 재밌었고 시즌2 했으면 좋겠다 ㅠㅜ멧돼지가 좀 짜증나긴하지만 .."
"273","옆집사람","10","순애보의 정석. 당신의 눈동자에 건배."
"274","인생은 아름다워","8","긴 시간에도 지루하지 않고 몰입도가 너무 좋았다  마지막 반전아닌 반전에선 남주 입장에선 스릴러 아닌가? 덜덜덜"
"275","에브리씽 에브리웨어 올 앳 원스","10","청춘이라는 주제를 아이들의 관점으로 볼 수 있게 만든 영화 같음 ㅠㅠ 하지만 성인이 보고 눈물 줄줄 흘리게 되는 영화"
"276","자백","8","극장에서 진짜 많이 웃으면서 봤어요ㅋㅇㅋ"
"277","20세기 소녀","10","재밌다 옛날 생각도나고 많이보삼"
"278","살인청부업자","10","양영희 감독님께서 길고 먼 길을 돌아와 하나의 결말을 만드심"
"279","리멤버","10","믿고보는 배우 고두심, 지현우의 재발견"
"280","낮에는 덥고 밤에는 춥고","9","연기도 오글거리고가끔 유치하지만그래도 충분히 볼만한 영화"
"281","시카리오: 데이 오브 솔다도","10","또 다시 생기지 말아야 하며현시대 우리가 각인 해야 될것을다시 상기 시켜줌!감사 드립니다"
"282","공조2: 인터내셔날","7","1편보다 몰입감은 떨어지지만 캐릭터 자체가 매력이 있기에 볼만한 영화다"
"283","옆집사람","10","롯데를사랑하는 팬으로써정말감동적이고 보는내내행복한시간이었습니다?나의 영원한롯데 화이팅~~~"
"284","인생은 아름다워","10","최고의 지브리 애니 입니다 ^^"
"285","에브리씽 에브리웨어 올 앳 원스","8","중국판 어벤져스 느낌입니다"
"286","자백","9","김윤진의 이유있는 어색한 연기가 훌륭하다"
"287","20세기 소녀","2","내평생 처음으로 리뷰를 써본다내인생 최고의 워스트 영화다.조옥같다"
"288","살인청부업자","1","희대의 OOO기 영화. 평점낮추려고 쓴다."
"289","리멤버","10",""
"290","낮에는 덥고 밤에는 춥고","8",""
"291","시카리오: 데이 오브 솔다도","8","누구나 자신만의 지옥은 하나씩 있다."
"292","공조2: 인터내셔날","8","기대안하고 봣는데 생각보다 연기력이며 괜찮았고 마지막에 조금 슬펏어요 ㅠ"
"293","옆집사람","10","감독이 천재인가? 라는 생각이 들었다."
"294","인생은 아름다워","6","우리의 이야기로 잘 풀어낼 수 있는 소재의 원작이라고 생각했었는데.. 갸우뚱하게 되는 설정과 전개가 아쉽다. 박근형 배우는 [아들의 이름으로]에 이어서 이 영화에서도..."
"295","에브리씽 에브리웨어 올 앳 원스","10","폐쇄된 공간에서 이런 짜임새를 볼수 있어서 아주 재밌었음"
"296","자백","10","힐링 영화"
"297","20세기 소녀","6","여주가 너무 예뻐요 내용은 좀 어렵고 지루함 ㅠ"
"298","살인청부업자","8","원작을 봤기때문에 비교하면서 볼수 있어서 좋았다~  재미없으면 어떨까 했는데  헐 비슷하지만 끌고가는힘이 스릴이 있어서 지루하지않게 잘봤다."
"299","리멤버","8","내 말이 진실이다 믿게끔 만드는 연기자들의 연기가 곧 힘이자 재미.원작을 알고 봤으면 어땠을까 싶다."
"300","낮에는 덥고 밤에는 춥고","10","최고 연기 스토리 이게영화지"
"301","시카리오: 데이 오브 솔다도","10","현실과 너무 괴리가 있는 영화, 하지만 친일은 청산해야 될 숙제이다."
"302","공조2: 인터내셔날","10","수십번을다시봐도 감동은 눈물을 짖게합니다.."
"303","옆집사람","1","0점짜리 영화!!!!"
"304","인생은 아름다워","9","긴박감 넘치는 액션이 많아서 재밌게 잘 봤음!!!"
"305","에브리씽 에브리웨어 올 앳 원스","10","와우 b급 영화일거라 생각하고 봤는데 b급에 충실한 수작이면 감동이 배가되는것 같다 너무 재미 있었다"
"306","자백","10","재밌네요~ 연출도 시시하지 않고 재미있었어요.외국인 연기랑 욕하는게 이상하다고 평가한 사람들은 쓸데없는데 신경이 거슬렸나보네요.그리고 뭐 없어도 되지만 구지 하나를 말하자면 감동 포인트가 약간 더 있었으면 좋겠어요."
"307","20세기 소녀","10","안본줄알고 봤는데 또 재밌는영화"
"308","살인청부업자","1","알바들이 너무 많다....도대체 무슨 내용인지도 모르겠고;; 중-후반으로 갈 수록 무슨 이야기를 하는지 더욱 더 알 수가 없다"
"309","리멤버","10","재밌다 진짜 뜻밖의 발견! 첨엔 과하다 싶었던 캐릭터에 묘하게 빠져든다!!!"
"310","낮에는 덥고 밤에는 춥고","8","결코 무너지지 않는 하루하루.. 제작환경이 반영된 극사실적인 분위기가 좋다.."
"311","시카리오: 데이 오브 솔다도","7","긴장감 없는 스릴러영화"
"312","공조2: 인터내셔날","2","..음……,,….. 클리셰 요소가 너무 많은듯"
"313","옆집사람","10","방아쇠를 망설이지 않고 당길때 시원했어요너무 가슴아픈 스토리지만 잘봤습니다"
"314","인생은 아름다워","1","서인국 같은 애들 진심 왜쓰면서 돈을 꼬라박는지 1도 모르겠닼 키키키"
"315","에브리씽 에브리웨어 올 앳 원스","8","와 지금봐도 독특하고 세련된 영화였어요. 휴고 위빙 연기 너무 잘합니다. v 캐릭터 매력있네요."
"316","자백","4","영국배경 정치드라마가 이렇게 유치할 수 있다니. 가이 포크스가 민주화열사냐?"
"317","20세기 소녀","10","박해준의 그 말이 사랑 고백이였음을 알았을때 한번 감탄하고  그 감탄으로  영화를 곱씹다보니 서래가 사랑을 시작한 순간과 사랑하는 이를 위해  했던 그녀 행동들이 너무 가슴 아파서  오래도록 이 여운이 남을거같다"
"318","살인청부업자","10","책을 정말 재미있게 봤고 한 순간순간마다 그 아름다움을 상상하는 재미가 있었는데, 기대 이상으로 그 느낌을 잘 살려준 영화"
"319","리멤버","10","극장에 있을 때 꼭 보세요"
"320","낮에는 덥고 밤에는 춥고","6","영화는 시골 복숭아밭 가운데 있는 작은 집을 중심으로 일어나는 대 가족의 이야기를 보여준다. 달콤한 납작 복숭아는 가족의 생계이다. 너무 맛있어 보이는 복숭아지만, 그 수익만으로는 살아가기가 풍족해 보이지 않는다. 그러나 가족들은 너무 행복해 보인다. 아이들의 웃음 속에는 그런 걱정이 보이지 않는다. 하지만 어른들은 언제 쫓겨날지 모르는 상황이 불안하기만 하다.?영화 중간중간에 흐르는 음악과 춤이 보여주는 그들의 삶은 노동 뒤에 오는 고단함을 잊게 만들어 준다. 그들만이 가진 흥이 어려운 삶 속에서도 한 가닥 희망으로 버티게 해주는 것 같다.?농촌의 삶은 세상 어디나 비슷한 것 같다. 우리나라의 농촌도 그리 풍족하지는 않지만 그들만의 삶과 흥이 존재하는 것처럼 영화 속의 알카라스도 위태위태하지만 그들의 삶을 그들 나름대로 계획하고 영위하고 있다.?하지만, 3대가 모두 안전하지만은 않은 상황 속에서 갈등과 고민 그리고 위험에 노출되어 방치되는 삶은 어찌 보면 무책임하게 느껴지기도 했다. 일과 행복의 워라벨이 절실히 필요한 그들에게 미래는 어떻게 다가올 것인지, 행복해 보이는 장면이 더 안쓰럽게 느껴지는 것은 그 행복이 얼마 지나지 않아 불행으로 바뀌는 것을 알고 있기 때문이 아닐까??간절히 바라지 않는 모습이 눈앞에 펼쳐진 순간, 그것을 바라보는 행복했던 그들의 표정을 잊을 수가 없었다. 달콤한 복숭아, 아름다운 햇빛 그리고 행복한 사람들의 표정만으로도 힐링이 되는 영화 <알카라스의 여름>이었습니다."
"321","시카리오: 데이 오브 솔다도","7","조금 아쉽네요"
"322","공조2: 인터내셔날","7","법정스릴러가 아닌 자연이 키워낸 소녀의 성장기, 그 소녀 역을 맡은 배우의 연기가 대단하다."
"323","옆집사람","7","원작 만화와는 다른 매력이 충분히 있다. 연기를 잘 못하던 시절의 나탈리 포트만이라던가.."
"324","인생은 아름다워","9","네가 길을 잃으면 날 찾을 수 있을거야.몇 번이고"
"325","에브리씽 에브리웨어 올 앳 원스","6","친일파 척결이라는 치트키를 쓰긴 했지만 이성민의 연기는 설득력이 충분했다."
"326","자백","10","인생영화에요 혼자만 볼 수 없어요"
"327","20세기 소녀","10","가장 사랑하는 영화 중 하나랍니다"
"328","살인청부업자","10","이 영화는 유정이가 다했다"
"329","리멤버","10","이 영화는 유정이가 다했다"
"330","낮에는 덥고 밤에는 춥고","10","이 영화는 유정이가 다했다"
"331","시카리오: 데이 오브 솔다도","10","이 영화는 유정이가 다했다"
"332","공조2: 인터내셔날","10","이 영화는 유정이가 다했다"
"333","옆집사람","10","이 영화는 유정이가 다했다"
"334","인생은 아름다워","10","이 영화는 유정이가 다했다"
"335","에브리씽 에브리웨어 올 앳 원스","10","이 영화는 유정이가 다했다"
"336","자백","10","이 영화는 유정이가 다했다"
"337","20세기 소녀","10","이 영화는 유정이가 다했다"
"338","살인청부업자","10","Good너무재밌어요"
"339","리멤버","10","간만에 잘만든 미국영화 예전 흐르는강물처럼 같은 영화로 서정적이고 스토리도 좋고 반전도 있음  헐크 검은백설공주 수퍼히로재탕삼탕에 망한 미국영화계의 부활"
"340","낮에는 덥고 밤에는 춥고","8","양파껍질 까기같이 공간에 따라 돌고 도는 나의 모습"
"341","시카리오: 데이 오브 솔다도","7","불의에 맞서는 휴고 위빙의 카리스마가 돋보이는 sf 영화"
"342","공조2: 인터내셔날","4","역시 형만한 아우는 없는가?… 노 잼… 왜 8점대인지 모르겠음…1편 도돌이표하는 것 같음 진부하고 지루함…"
